web-scraper-order,web-scraper-start-url,date,event,location,URL,URL-href,Location,Time,Num Going,img-src,description,host
"1567967202-10","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP9","Mt. Kilimanjaro Trip for The American Foundation for Suicide Prevention","Tomorrow 7 PM","Mt. Kilimanjaro Trip for The American Foundation for Suicide Prevention","https://www.facebook.com/events/516691849138588/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","Cornell Outdoor Education - B01 Bartels Hall","Tomorrow at 7 PM – 8 PM","null","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Get Everything You Need To Know About This Trip: http://bit.ly/GoToKilimanjaro

Choose a Challenge USA & American Foundation for Suicide Prevention are leading an expedition of 20 students from Cornell University to climb to the highest free-standing peak in the world, the summit of Mt. Kilimanjaro.

🤷‍HOW DOES IT WORK? 🤷‍♂️
We're giving students the opportunity to fundraise the cost of this trip in aid of the American Foundation for Suicide Prevention
50% Goes towards the cost of your trip
50% is a direct donation to charity

Stop by our information meeting to learn how to get yourself a spot on the team and how it all works!

Can’t make the event? 😱
Register your interest at www.chooseachallenge.org/kili-trek and we’ll send you all of the information you'll need to learn more and get signed up!

For any questions contact your student representative:
🙋‍♀️ Benjamin Velani
📩 bsv8@cornell.edu

----------------------------------------------------------------
🎒WHAT IS THIS TRIP ALL ABOUT?🎒

Challenge yourself on this incredible 6-day trek of Kilimanjaro, the tallest free-standing mountain in the world. Your journey to the ‘Roof of Africa’ will see you follow the Machame Route to the stunning Uhuru Peak, at 19,340ft above sea-level, all the while passing through various climate zones along the way. To celebrate you’ll also have the opportunity to go on a two-day safari and five-day trip to relax out on the glorious golden beaches of Zanzibar.

This is an amazing opportunity not only to climb Kilimanjaro, but also to explore the beauty of East Africa, learn about the rich culture and varied landscapes of the region, and raise serious money for a local charity in the process.","· Hosted by Choose a Challenge USA"
"1567967190-9","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP20","An Evening With Spike Lee","Fri 7 PM · CUPB (Cornell University Program Board) · Ithaca, New York","An Evening With Spike Lee","https://www.facebook.com/events/2405032883150719/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","null","Friday, September 20, 2019 at 7 PM – 9 PM","156 Going · 1K Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","CUPB and MCFAB are excited to welcome Spike Lee to Bailey Hall on September 20th! Tickets go on sale to the Cornell Community only on Friday September 6th at 10am at CornellTickets.com","· Hosted by CUPB (Cornell University Program Board)"
"1567967299-18","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","OCT18","Ag Day!","Fri 9 AM · Ag Quad · Ithaca, New York","Ag Day!","https://www.facebook.com/events/353997148575327/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","null","Friday, October 18, 2019 at 9 AM – 6 PM","82 Going · 643 Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Come out and celebrate Ag Day on the Ag Quad! There will be fun games, farm animals, clubs and other organizations tabling, FREE food samples, and ,much more! We will be serving lunch and all the proceeds will go to benefit Tompkins County 4H!","· Hosted by Alpha Zeta Fraternity-Cornell Chapter"
"1567967349-22","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP12","Medium Design Collective Info Sessions","Thu 5 PM","Medium Design Collective Info Sessions","https://www.facebook.com/events/351639772379441/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","Rockefeller Hall, Ithaca, NY 14853, United States","Thursday, September 12, 2019 at 5 PM – 6 PM","83 Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","""Do you like design?""

Medium Design Collective is Cornell's premier interdisciplinary design organization! Come to one of our info sessions to learn more about what we do and how you can join our team, working to unite the community with dialogue through design. At the info sessions, we will be going more into depth about the upcoming projects we work on, what we've done in the past, and what we hope to accomplish - with your help! - this year.

Info Session:
Thursday, September 12th
5-6pm in Rockefeller 132

Friday, September 13th
5-6pm in Rockefeller 132

Fill out our interest form by midnight on the 16th at https://tinyurl.com/mediumcornell

If you have any questions, feel free to reach out to us at mediumdesigncollective@gmail.com","null"
"1567967275-16","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP22","Porchfest 2019 (Ithaca, NY)","Sun 12 PM · Porchfest! · Ithaca, New York","Porchfest 2019 (Ithaca, NY)","https://www.facebook.com/events/1062601583942069/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","null","Sunday, September 22, 2019 at 12 PM – 6 PM","733 Going · 4.6K Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Porchfest is a music festival held on the porches of the Fall Creek and Northside neighborhoods of Ithaca, NY.

This year's Porchfest will take place on Sunday, Sept 22. That's the birthday of Toni Basil, King Sunny Adé, Nick Cave, Andrea Bocelli, Joan Jett and Mystikal. It's also the 15th anniversary of the disappearance of (fictional) Oceanic Airlines flight 815, so performers, feel free to cover Driveshaft's ""You All Everybody"" for extra credit. It's Independence Day in both Bulgaria and Mali. And it's also the actual last day of summer this year, which seems poetic.

In response to your feedback last month, we have decided to keep Aurora Street closed to traffic, and there will be performances there. Cayuga, Tompkins, Hancock and Lincoln streets will be open to traffic, with no performances allowed. We know this is a disappointment for many who have performed on those streets in the past, but some adjustments were necessary this year in order to get our permit approved. You can see the new street closure map at http://www.porchfest.org/porchfest-2019/

Volunteer signups are open now, and due to this year's revamped map, we're going to need a TON of volunteers, so please spread the word to anyone who might be up for spending part of the day helping out.
http://porchfest.org/volunteer

So mark your calendars, tune your banjos, find some comfortable walking shoes, and we'll see you in September!","· Hosted by Porchfest!"
"1567967324-20","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP10","SWE Professional Networking Dinner","Tue 7:30 PM · The Statler Hotel at Cornell University · Ithaca, New York","SWE Professional Networking Dinner","https://www.facebook.com/events/420809888549516/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","Tickets","Tuesday at 7:30 PM – 9:30 PM","40 Going · 109 Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Looking for a full-time job, internship, or co-op position?

The Society of Women Engineers will be hosting the Fall 2019 Professional Networking Dinner the night before the technical career fair. All undergraduate and graduate Cornell Engineering students are welcome!

When: Tuesday, September 10th, 2019, 7:30-9:30pm
Where: Statler Ballroom
Cost: $15
How to Attend:
Tickets are sold online.
Please see https://swe.cornell.edu/pnd.html for more details and registration. 

Companies attending: 

Ridgeline
Viasat
Stroud International
E&J Gallo Winery
Capital One
Regeneron Pharmaceuticals
Goldman Sachs
ZS Associates
BNY Mellon
Langan Engineering
DuPont
Toast
Facebook
Lockheed Martin
Epic
Chartwell Consulting
Sandia National Lab
Northrop Grumman
Datto
Squarespace 
Cisco Meraki 
OSIsoft, LLC
Deloitte Consulting
Applied Materials
Hudson River Trading
MITRE
Intel
Lyft
American Express
Samsung Research America
Amazon Robotics
Datadog
Avangrid
Katerra
BNP Paribas
Emerson
Merck & Co","· Hosted by Cornell SWE"
"1567967166-7","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","OCT24","Democracy, Today: Fake News, Social Networks, and Algorithms","Thu 4:30 PM · The Alice Statler Auditorium · Ithaca, New York","Democracy, Today: Fake News, Social Networks, and Algorithms","https://www.facebook.com/events/381741639210702/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","null","Thursday, October 24, 2019 at 4:30 PM – 7 PM","8 Going · 105 Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","The annual Cornell Center for Social Sciences' Distinguished Lecture in the Social Sciences speaker David Lazer is a Distinguished Professor of Political Science and Computer and Information Science, Northeastern University, and co-director for the NULab for Texts, Maps, and Networks. This free, public lecture is also sponsored by the departments of Communication, Computer Science, and Information Science. Following his lecture, there will be a public reception in the Statler Hotel Carrier Ballroom.

Democracy, Today: Fake News, Social Networks, and Algorithms

The Internet is increasingly the home of democracy. It is where people turn for civic information, engage in political discourse public and private, and turn to mobilize collectively. The virtual structures of the Internet are, in some ways, quite distinct from what preceded; and in other ways, they reproduce and amplify those pre-existing patterns. The Internet can be the ultimate disseminator of misinformation; as well as the ultimate educator. People have at their fingertips more diverse sources of information than ever before; yet many of the institutions for the production of political and civic information are being eviscerated. This talk will discuss the informational and social logics of the Internet-- what is our democracy, today?-- how they support and undermine democracy, and concludes with a discussion of what structures and practices we need from the Internet to support democracy, today.

Professor Lazer's research focuses on the nexus of network science, computational social science, and collaborative intelligence. He is the founder of the citizen science website Volunteer Science and the political visualization website VisPolics. His research has been published in such journals as Science, Proceedings of the National Academy of Science, the American Political Science Review, and the Administrative Science Quarterly, and has received extensive coverage in the media, including the New York Times, NPR, the Washington Post, the Wall Street Journal, and CBS Evening News.

Professor Lazer serves in multiple leadership and editorial positions, including as a board member for the International Network of Social Network Analysts (INSNA), reviewing editor for Science, associate editor of Social Networks and Network Science, numerous other editorial boards and program committees. He was a founder of the Political Networks Section, as well as a founder and founding host of the Political Networks conference.","· Hosted by Cornell Center for Social Sciences and 2 others"
"1567967397-26","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP9","Ridgeline Information Session","Tomorrow 6 PM · Upson Hall · Ithaca, New York","Ridgeline Information Session","https://www.facebook.com/events/674611223045384/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","null","Tomorrow at 6 PM – 8 PM","16 Going · 76 Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Ridgeline will be hosting an information session to talk to students about their company and the software they are creating. Come hear about how their employees learn the value of working in an environment unlike any other, in North Shore Lake Tahoe! There will be Chipotle!","· Hosted by Cornell Theta Tau"
"1567967336-21","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP27","Ithaca's 37th Annual Apple Harvest Festival","Fri 12 PM · Downtown Ithaca · Ithaca, New York","Ithaca's 37th Annual Apple Harvest Festival","https://www.facebook.com/events/769452970135583/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","null","Friday, September 27, 2019 at 12 PM – 6 PM","6.2K Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Downtown Ithaca's Apple Harvest Festival is the region's premier Fall event! 

Presented by Tompkins Trust Company, this is a three-day harvest celebration of tons of food, fun, and, of course, apples!

Free to attend and all-ages friendly, Apple Harvest Festival is a great introduction to the rich farm and artist community of Ithaca and the Finger Lakes region. 

 First time visitors can witness a variety of highly talented and family-friendly local entertainment happening all over downtown and inside shops, while also visiting the historical outdoor pedestrian shopping mall, the Ithaca Commons. The Commons is the epicenter of the festival and the gateway to a nostalgic journey to harvest season fun.

Info for the 2019 festival is coming soon!

Save the dates: September 27-29","null"
"1567967385-25","https://www.facebook.com/events/discovery/?acontext=%7B%22ref%22%3A%222%22%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D]%22%7D","SEP15","Welcome Weekend Presents: Clubfest Fall 19","Sun 1 PM","Welcome Weekend Presents: Clubfest Fall 19","https://www.facebook.com/events/2346224608984171/?acontext=%7B%22ref%22%3A2%2C%22ref_dashboard_filter%22%3A%22upcoming%22%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22upcoming%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D","Barton Hall, Ithaca, NY 14853, United States","Sunday, September 15, 2019 at 1 PM – 4 PM","298 Going · 740 Interested","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-1/p24x24/10952140_936732023024675_3371917553888701778_n.jpg?_nc_cat=105&_nc_oc=AQkI5p7ed7gAFnZKYDfQa76ouYlxteHUcBRDtImhtwoqUqZvfedsFYvfV9P-YifLNiI&_nc_ht=scontent-lga3-1.xx&oh=71b763c7eef1c3bc77df1ef8bb1c896f&oe=5DF33EE0","Annual Fall Clubfest. Come meet over 400+ clubs at Cornell and enjoy various performances!","· Hosted by Welcome Weekend Committee"
